file_name,id,sentence,ann1_emotion,ann2_emotion
the_miser_in_the_bush.emmood,0:0,"A farmer had a faithful and diligent servant, who had worked hard for him three years, without having been paid any wages.",A:N,A:N
the_miser_in_the_bush.emmood,1:1,"At last it came into the man""s head that he would not go on thus without pay any longer; so he went to his master, and said, ""I have worked hard for you a long time, I will trust to you to give me what I deserve to have for my trouble.""",A:N,A:N
the_miser_in_the_bush.emmood,2:2,"The farmer was a sad miser, and knew that his man was very simple-hearted; so he took out threepence, and gave him for every year""s service a penny.",N:N,A:N
the_miser_in_the_bush.emmood,3:3,"The poor fellow thought it was a great deal of money to have, and said to himself, ""Why should I work hard, and live here on bad fare any longer?",H:N,H:N
the_miser_in_the_bush.emmood,4:4,"I can now travel into the wide world, and make myself merry.""",H:N,H:N
the_miser_in_the_bush.emmood,5:5,"With that he put his money into his purse, and set out, roaming over hill and valley.",H:N,H:N
the_miser_in_the_bush.emmood,6:6,"As he jogged along over the fields, singing and dancing, a little dwarf met him, and asked him what made him so merry.",H:H,H:H
the_miser_in_the_bush.emmood,7:7,"""Why, what should make me down-hearted?"" said he; ""I am sound in health and rich in purse, what should I care for?",H:H,H:H
the_miser_in_the_bush.emmood,8:8,"I have saved up my three years"" earnings and have it all safe in my pocket.""",H:N,H:H
the_miser_in_the_bush.emmood,9:9,"""How much may it come to?"" said the little man.",N:N,H:H
the_miser_in_the_bush.emmood,10:10,"""Full threepence,"" replied the countryman.",N:N,H:H
the_miser_in_the_bush.emmood,11:11,"""I wish you would give them to me,"" said the other; ""I am very poor.""",Sa:N,N:S
the_miser_in_the_bush.emmood,12:12,"Then the man pitied him, and gave him all he had; and the little dwarf said in return, ""As you have such a kind honest heart, I will grant you three wishes--one for every penny; so choose whatever you like.""",H:Sa,H:S
the_miser_in_the_bush.emmood,13:13,"Then the countryman rejoiced at his good luck, and said, ""I like many things better than money: first, I will have a bow that will bring down everything I shoot at; secondly, a fiddle that will set everyone dancing that hears me play upon it; and thirdly, I should like that everyone should grant what I ask.""",H:H,H:H
the_miser_in_the_bush.emmood,14:14,"The dwarf said he should have his three wishes; so he gave him the bow and fiddle, and went his way.",H:N,H:H
the_miser_in_the_bush.emmood,15:15,"Our honest friend journeyed on his way too; and if he was merry before, he was now ten times more so.",H:H,H:H
the_miser_in_the_bush.emmood,16:16,"He had not gone far before he met an old miser: close by them stood a tree, and on the topmost twig sat a thrush singing away most joyfully.",N:N,H:N
the_miser_in_the_bush.emmood,17:17,"""Oh, what a pretty bird!"" said the miser; ""I would give a great deal of money to have such a one.""",H:H,H:H
the_miser_in_the_bush.emmood,18:18,"""If that""s all,"" said the countryman, ""I will soon bring it down.""",N:N,N:H
the_miser_in_the_bush.emmood,19:19,"Then he took up his bow, and down fell the thrush into the bushes at the foot of the tree.",N:N,N:N
the_miser_in_the_bush.emmood,20:20,"The miser crept into the bush to find it; but directly he had got into the middle, his companion took up his fiddle and played away, and the miser began to dance and spring about, capering higher and higher in the air.",A:N,F:N
the_miser_in_the_bush.emmood,21:21,"The thorns soon began to tear his clothes till they all hung in rags about him, and he himself was all scratched and wounded, so that the blood ran down.",F:N,F:S
the_miser_in_the_bush.emmood,22:22,"""Oh, for heaven""s sake!"" cried the miser, ""Master! master! pray let the fiddle alone.",F:Su-,F:S
